medianOR,eta
0.6078126017540012,0.86
0.4357962502746966,0.86
0.512418171166652,0.86
0.3692448907849162,0.86
0.4382151624361411,0.86
0.3430619813427636,0.86
0.3451637962865588,0.86
0.39360770846631216,0.86
0.43750124660016704,0.86
0.5606041078206468,0.86
0.4241425355666724,0.86
0.43425345727463965,0.86
0.4042067115429805,0.86
0.42984923821880805,0.86
0.3655457764369056,0.86
0.5380882789680251,0.86
0.3987350812376413,0.86
0.5807185925188967,0.86
0.4775166246934158,0.86
0.6043271894616589,0.86
0.479240251367245,0.86
0.35823701979929273,0.86
0.42577938385695163,0.86
0.5040362273815125,0.86
0.41477676748738884,0.86
0.4966961410176184,0.86
0.49146393491615387,0.86
0.35826306467145863,0.86
0.4898534802310263,0.86
0.4801963672003512,0.86
0.3052272401458943,0.86
0.4347398148683838,0.86
0.4481292543080325,0.86
0.717351948414561,0.86
0.4376510661468345,0.86
0.5190216880044651,0.86
0.5531003662021475,0.86
0.5647252405035761,0.86
0.41082465335985596,0.86
0.5093388800540053,0.86
0.5047660082682406,0.86
0.3471725885051236,0.86
0.41689286985311547,0.86
0.44433675247883325,0.86
0.394066135030635,0.86
0.38247311130439754,0.86
0.2937737598429283,0.86
0.30738208609494594,0.86
0.4720991499612204,0.86
0.5325780422199692,0.86
0.4509063280683969,0.86
0.6281993363207725,0.86
0.35359837977244435,0.86
0.4292272177356476,0.86
0.5533467402469617,0.86
0.6566974487330173,0.86
0.3582017883552847,0.86
0.4353693963195598,0.86
0.41088909337183105,0.86
0.6252743177493453,0.86
0.3817393066835669,0.86
0.4740572169669742,0.86
0.5376806183046868,0.86
0.5066497182217679,0.86
0.4643255194047343,0.86
0.3469175406915794,0.86
0.4307122754783681,0.86
0.34047616558443977,0.86
0.5935577742430117,0.86
0.482125625612773,0.86
0.5968112499363517,0.86
0.4725295114150189,0.86
0.5114737016118849,0.86
0.5569098398800173,0.86
0.4032056293161372,0.86
0.3389206189721418,0.86
0.3350734877655985,0.86
0.34789648710365084,0.86
0.3633396581220863,0.86
0.42192383071103573,0.86
0.4279211464033117,0.86
0.6034632351916838,0.86
0.5093357144228138,0.86
0.4104464383863377,0.86
0.45880822330915344,0.86
0.3333100207464182,0.86
0.37970335388560683,0.86
0.5295757776152922,0.86
0.4785754978185507,0.86
0.40575908236661296,0.86
0.5712310964253109,0.86
0.5403056110999118,0.86
0.320780007193911,0.86
0.49168072687526937,0.86
0.4987896526362488,0.86
0.27921170195451045,0.86
0.46320024297098866,0.86
0.44273972758392016,0.86
0.47991169404318756,0.86
0.3929857968311859,0.86
0.33267587150438754,0.86
0.32076135379533993,0.86
0.39397666328469655,0.86
0.3887251458056623,0.86
0.43741613771798704,0.86
0.5395932871890302,0.86
0.4584412463742987,0.86
0.30132500088811753,0.86
0.5201740556821558,0.86
0.5230801660019113,0.86
0.38720412545127847,0.86
0.2740095581295557,0.86
0.4934268948287835,0.86
0.38659518077197363,0.86
0.43003116558090004,0.86
0.31682301332474616,0.86
0.30914089595541994,0.86
0.2930597943067756,0.86
0.5285827413370777,0.86
0.4101952824912639,0.86
0.7426279832981189,0.86
0.33817018580198716,0.86
0.46752776383062766,0.86
0.37840878587756127,0.86
0.5955053141411317,0.86
0.47427712791080034,0.86
0.4188336366233112,0.86
0.27329033001842723,0.86
0.34000977642849173,0.86
0.43002406037008467,0.86
0.5455853303814457,0.86
0.43232619384295234,0.86
0.2835472296148142,0.86
0.3530690149049201,0.86
0.4320700488122908,0.86
0.5121828071772588,0.86
0.5246997080173887,0.86
0.5488534887396573,0.86
0.39861982602654517,0.86
0.32544840171861883,0.86
0.5471945579012838,0.86
0.25602899601057244,0.86
0.6088054828831135,0.86
0.32044832960410247,0.86
0.32937132214511317,0.86
0.553389493344747,0.86
0.3556721970049158,0.86
0.3835159317437909,0.86
0.4954386793076302,0.86
0.4308328913120929,0.86
0.610201726061569,0.86
0.36227445794398694,0.86
0.5183175287982665,0.86
0.3601263755640401,0.86
0.3853604651330499,0.86
0.42731730956405006,0.86
0.35209289310081177,0.86
0.6576067769956244,0.86
0.5429821983687362,0.86
0.3901745688135666,0.86
0.4457035431705575,0.86
0.41912698869716425,0.86
0.41370960284261754,0.86
0.5109440498792388,0.86
0.48955708428436095,0.86
0.45706482180792574,0.86
0.40309593790929077,0.86
0.33835356570435277,0.86
0.49225245424584396,0.86
0.495583165942714,0.86
0.4367021348554154,0.86
0.5583655259398698,0.86
0.39685228660574645,0.86
0.5156406173681066,0.86
0.427841673836112,0.86
0.36947335087560507,0.86
0.3105558126517546,0.86
0.4379186268114988,0.86
0.4490400030594906,0.86
0.41884071143988577,0.86
0.3966187778104394,0.86
0.43664599444442503,0.86
0.3789029765415424,0.86
0.4606106078060273,0.86
0.38002331880164775,0.86
0.43180118061205586,0.86
0.65673477910331,0.86
0.4953630695400272,0.86
0.3153118571679209,0.86
0.5563699352235577,0.86
0.3108589709598997,0.86
0.4436446469640297,0.86
0.5048245496404937,0.86
0.33416149096913483,0.86
0.4888586730535729,0.86
0.3386638426588405,0.86
0.44214196109058074,0.86
0.4785779067233007,0.86
0.38566602400303923,0.86
0.37083394465768016,0.86
0.6528809978609985,0.86
0.5212388049355483,0.86
0.35314706657234746,0.86
0.46991155801180506,0.86
0.4395929108059382,0.86
0.40770381723589055,0.86
0.3800501240817869,0.86
0.32425963597260793,0.86
0.5361597261505573,0.86
0.27567780440696016,0.86
0.32220408400983924,0.86
0.4147224733270182,0.86
0.49020734085130935,0.86
0.541979779869965,0.86
0.2826739771184741,0.86
0.4787345212597792,0.86
0.589913380259767,0.86
0.3173850559299873,0.86
0.4342031739748425,0.86
